!Sample_title	ID_REF
Blood Control individualHFS101	GSM860457
Blood SCD patientA0259	GSM860363
Blood SCD patientA0260	GSM860364
Blood SCD patientA0262	GSM860365
Blood SCD patientA0263	GSM860366
Blood SCD patientA0264	GSM860367
Blood SCD patientA0266	GSM860368
Blood SCD patientA0267	GSM860369
Blood SCD patientA0268	GSM860370
Blood SCD patientA0269	GSM860371
Blood SCD patientA0271	GSM860372
Blood SCD patientA0274	GSM860373
Blood SCD patientA0278	GSM860374
Blood SCD patientA0282	GSM860375
Blood SCD patientA0283	GSM860376
Blood SCD patientA0284	GSM860377
Blood SCD patientA0286	GSM860378
Blood SCD patientA0287	GSM860379
Blood SCD patientA0290	GSM860380
Blood SCD patientA0291	GSM860381
Blood SCD patientA0293	GSM860382
Blood SCD patientA0295	GSM860383
Blood SCD patientA0296	GSM860384
Blood SCD patientA0298	GSM860385
Blood SCD patientA0299	GSM860386
Blood SCD patientA0300	GSM860387
Blood SCD patientA0301	GSM860388
Blood SCD patientA0303	GSM860389
Blood SCD patientA0305	GSM860390
Blood SCD patientA0306	GSM860391
Blood SCD patientA0307	GSM860392
Blood SCD patientA0308	GSM860393
Blood SCD patientA0310	GSM860394
Blood SCD patientA0311	GSM860395
Blood SCD patientA0313	GSM860396
Blood SCD patientA0314	GSM860397
Blood SCD patientA0315	GSM860398
Blood SCD patientA0317	GSM860399
Blood SCD patientA0318	GSM860400
Blood SCD patientA0320	GSM860401
Blood SCD patientA0322	GSM860402
Blood SCD patientA0323	GSM860403
Blood SCD patientA0324	GSM860404
Blood SCD patientA0325	GSM860405
Blood SCD patientA0326	GSM860406
Blood SCD patientA0329	GSM860407
Blood SCD patientA0330	GSM860408
Blood SCD patientA0331	GSM860409
Blood SCD patientA0332	GSM860410
Blood SCD patientA0334	GSM860411
Blood SCD patientA0335	GSM860412
Blood SCD patientA0336	GSM860413
Blood SCD patientA0337	GSM860414
Blood SCD patientA0338	GSM860415
Blood SCD patientA0339	GSM860416
Blood SCD patientA0340	GSM860417
Blood SCD patientA0343	GSM860418
Blood SCD patientA0344	GSM860419
Blood SCD patientA0346	GSM860420
Blood SCD patientA0347	GSM860421
Blood SCD patientA0348	GSM860422
Blood SCD patientA0349	GSM860423
Blood SCD patientA0350	GSM860424
Blood SCD patientA0351	GSM860425
Blood SCD patientA0353	GSM860426
Blood SCD patientA0354	GSM860427
Blood SCD patientA0355	GSM860428
Blood SCD patientA0357	GSM860429
Blood SCD patientA0358	GSM860430
Blood SCD patientA0360	GSM860431
Blood SCD patientA0363	GSM860432
Blood SCD patientA0364	GSM860433
Blood SCD patientA0366	GSM860434
Blood SCD patientA0369	GSM860435
Blood SCD patientA0370	GSM860436
Blood SCD patientA0371	GSM860437
Blood SCD patientA0372	GSM860438
Blood SCD patientA0373	GSM860439
Blood SCD patientA0374	GSM860440
Blood SCD patientA0376	GSM860441
Blood SCD patientA0377	GSM860442
Blood SCD patientA0379	GSM860443
Blood SCD patientA0381	GSM860444
Blood SCD patientA0382	GSM860445
Blood SCD patientA0384	GSM860446
Blood SCD patientA0386	GSM860447
Blood SCD patientA0387	GSM860448
Blood SCD patientA0388	GSM860449
Blood SCD patientA0389	GSM860450
Blood SCD patientA0390	GSM860451
Blood SCD patientA0391	GSM860452
Blood SCD patientA0392	GSM860453
Blood SCD patientA0393	GSM860454
Blood SCD patientA0395	GSM860455
Blood SCD patientA0396	GSM860456
